sku,name,description,price
ABC123,Wireless Mouse,Ergonomic wireless mouse with USB receiver,29.99
DEF456,Mechanical Keyboard,RGB backlit mechanical keyboard,89.99
GHI789,USB-C Cable,High-speed USB-C charging cable 2m,12.99
JKL012,Laptop Stand,Adjustable aluminum laptop stand,45.00
MNO345,Webcam HD,1080p HD webcam with built-in microphone,65.50
PQR678,Monitor 27inch,4K UHD 27-inch monitor,399.99
STU901,External SSD,1TB portable external SSD,129.99
VWX234,Wireless Charger,Fast wireless charging pad,24.99
YZA567,Bluetooth Speaker,Portable waterproof Bluetooth speaker,79.99
BCD890,Phone Case,Protective silicone phone case,15.99
